match,team,opponent,team_score,opponent_score,result,status,round,season
AthleticClub_Barcelona,AthleticClub,Barcelona,1.0,1.0,win,finished,1,19_20
Barcelona_AthleticClub,Barcelona,AthleticClub,1.0,1.0,loss,finished,1,19_20
CeltaVigo_RealMadrid,CeltaVigo,RealMadrid,1.0,3.0,loss,finished,1,19_20
RealMadrid_CeltaVigo,RealMadrid,CeltaVigo,3.0,1.0,win,finished,1,19_20
Valencia_RealSociedad,Valencia,RealSociedad,2.0,2.0,draw,finished,1,19_20
RealSociedad_Valencia,RealSociedad,Valencia,2.0,2.0,draw,finished,1,19_20
Mallorca_Eibar,Mallorca,Eibar,3.0,1.0,win,finished,1,19_20
Eibar_Mallorca,Eibar,Mallorca,1.0,3.0,loss,finished,1,19_20
Leganes_Osasuna,Leganes,Osasuna,0.0,1.0,loss,finished,1,19_20
Osasuna_Leganes,Osasuna,Leganes,1.0,0.0,win,finished,1,19_20
Villarreal_Granada,Villarreal,Granada,5.0,5.0,draw,finished,1,19_20
Granada_Villarreal,Granada,Villarreal,5.0,5.0,draw,finished,1,19_20
DeportivoAlaves_LevanteUD,DeportivoAlaves,LevanteUD,1.0,1.0,win,finished,1,19_20
LevanteUD_DeportivoAlaves,LevanteUD,DeportivoAlaves,1.0,1.0,loss,finished,1,19_20
Espanyol_Sevilla,Espanyol,Sevilla,0.0,2.0,loss,finished,1,19_20
Sevilla_Espanyol,Sevilla,Espanyol,2.0,0.0,win,finished,1,19_20
RealBetis_RealValladolid,RealBetis,RealValladolid,2.0,3.0,loss,finished,1,19_20
RealValladolid_RealBetis,RealValladolid,RealBetis,3.0,2.0,win,finished,1,19_20
AtleticoMadrid_Getafe,AtleticoMadrid,Getafe,1.0,0.0,win,finished,1,19_20
Getafe_AtleticoMadrid,Getafe,AtleticoMadrid,0.0,1.0,loss,finished,1,19_20
Villarreal_DeportivoAlaves,Villarreal,DeportivoAlaves,5.0,1.0,win,finished,10,19_20
DeportivoAlaves_Villarreal,DeportivoAlaves,Villarreal,1.0,5.0,loss,finished,10,19_20
Barcelona_RealMadrid,Barcelona,RealMadrid,,,,postponed,10,19_20
RealMadrid_Barcelona,RealMadrid,Barcelona,,,,postponed,10,19_20
Leganes_Mallorca,Leganes,Mallorca,2.0,1.0,win,finished,10,19_20
Mallorca_Leganes,Mallorca,Leganes,1.0,2.0,loss,finished,10,19_20
RealValladolid_Eibar,RealValladolid,Eibar,3.0,1.0,win,finished,10,19_20
Eibar_RealValladolid,Eibar,RealValladolid,1.0,3.0,loss,finished,10,19_20
AtleticoMadrid_AthleticClub,AtleticoMadrid,AthleticClub,2.0,0.0,win,finished,10,19_20
AthleticClub_AtleticoMadrid,AthleticClub,AtleticoMadrid,0.0,2.0,loss,finished,10,19_20
CeltaVigo_RealSociedad,CeltaVigo,RealSociedad,1.0,1.0,loss,finished,10,19_20
RealSociedad_CeltaVigo,RealSociedad,CeltaVigo,1.0,1.0,win,finished,10,19_20
Granada_RealBetis,Granada,RealBetis,2.0,1.0,win,finished,10,19_20
RealBetis_Granada,RealBetis,Granada,1.0,2.0,loss,finished,10,19_20
LevanteUD_Espanyol,LevanteUD,Espanyol,0.0,1.0,loss,finished,10,19_20
Espanyol_LevanteUD,Espanyol,LevanteUD,1.0,0.0,win,finished,10,19_20
Sevilla_Getafe,Sevilla,Getafe,3.0,0.0,win,finished,10,19_20
Getafe_Sevilla,Getafe,Sevilla,0.0,3.0,loss,finished,10,19_20
Osasuna_Valencia,Osasuna,Valencia,3.0,2.0,win,finished,10,19_20
Valencia_Osasuna,Valencia,Osasuna,2.0,3.0,loss,finished,10,19_20
Barcelona_RealMadrid,Barcelona,RealMadrid,1.0,0.0,draw,finished,10,19_20
RealMadrid_Barcelona,RealMadrid,Barcelona,0.0,1.0,draw,finished,10,19_20
DeportivoAlaves_AtleticoMadrid,DeportivoAlaves,AtleticoMadrid,2.0,1.0,draw,finished,11,19_20
AtleticoMadrid_DeportivoAlaves,AtleticoMadrid,DeportivoAlaves,1.0,2.0,draw,finished,11,19_20
Barcelona_RealValladolid,Barcelona,RealValladolid,5.0,1.0,win,finished,11,19_20
RealValladolid_Barcelona,RealValladolid,Barcelona,1.0,5.0,loss,finished,11,19_20
RealSociedad_LevanteUD,RealSociedad,LevanteUD,1.0,2.0,loss,finished,11,19_20
LevanteUD_RealSociedad,LevanteUD,RealSociedad,2.0,1.0,win,finished,11,19_20
Valencia_Sevilla,Valencia,Sevilla,1.0,2.0,draw,finished,11,19_20
Sevilla_Valencia,Sevilla,Valencia,2.0,1.0,draw,finished,11,19_20
AthleticClub_Espanyol,AthleticClub,Espanyol,4.0,1.0,win,finished,11,19_20
Espanyol_AthleticClub,Espanyol,AthleticClub,1.0,4.0,loss,finished,11,19_20
RealBetis_CeltaVigo,RealBetis,CeltaVigo,2.0,1.0,win,finished,11,19_20
CeltaVigo_RealBetis,CeltaVigo,RealBetis,1.0,2.0,loss,finished,11,19_20
RealMadrid_Leganes,RealMadrid,Leganes,6.0,0.0,win,finished,11,19_20
Leganes_RealMadrid,Leganes,RealMadrid,0.0,6.0,loss,finished,11,19_20
Eibar_Villarreal,Eibar,Villarreal,3.0,1.0,win,finished,11,19_20
