match,team,opponent,team_score,opponent_score,result,status,round,season,event_id
Osasuna_Sevilla,Osasuna,Sevilla,3.0,2.0,win,finished,1,22_23,10408559
Sevilla_Osasuna,Sevilla,Osasuna,2.0,3.0,loss,finished,1,22_23,10408559
CeltaVigo_Espanyol,CeltaVigo,Espanyol,2.0,3.0,draw,finished,1,22_23,10408645
Espanyol_CeltaVigo,Espanyol,CeltaVigo,3.0,2.0,draw,finished,1,22_23,10408645
RealValladolid_Villarreal,RealValladolid,Villarreal,0.0,4.0,loss,finished,1,22_23,10408563
Villarreal_RealValladolid,Villarreal,RealValladolid,4.0,0.0,win,finished,1,22_23,10408563
Barcelona_RayoVallecano,Barcelona,RayoVallecano,0.0,0.0,draw,finished,1,22_23,10408557
RayoVallecano_Barcelona,RayoVallecano,Barcelona,0.0,0.0,draw,finished,1,22_23,10408557
Cadiz_RealSociedad,Cadiz,RealSociedad,0.0,2.0,loss,finished,1,22_23,10408561
RealSociedad_Cadiz,RealSociedad,Cadiz,2.0,0.0,win,finished,1,22_23,10408561
Valencia_GironaFC,Valencia,GironaFC,1.0,1.0,win,finished,1,22_23,10408623
GironaFC_Valencia,GironaFC,Valencia,1.0,1.0,loss,finished,1,22_23,10408623
Almeria_RealMadrid,Almeria,RealMadrid,2.0,3.0,loss,finished,1,22_23,10408712
RealMadrid_Almeria,RealMadrid,Almeria,3.0,2.0,win,finished,1,22_23,10408712
AthleticClub_Mallorca,AthleticClub,Mallorca,0.0,1.0,draw,finished,1,22_23,10408560
Mallorca_AthleticClub,Mallorca,AthleticClub,1.0,0.0,draw,finished,1,22_23,10408560
Getafe_AtleticoMadrid,Getafe,AtleticoMadrid,0.0,4.0,loss,finished,1,22_23,10408564
AtleticoMadrid_Getafe,AtleticoMadrid,Getafe,4.0,0.0,win,finished,1,22_23,10408564
RealBetis_Elche,RealBetis,Elche,4.0,0.0,win,finished,1,22_23,10408566
Elche_RealBetis,Elche,RealBetis,0.0,4.0,loss,finished,1,22_23,10408566
Espanyol_RayoVallecano,Espanyol,RayoVallecano,1.0,2.0,loss,finished,2,22_23,10408624
RayoVallecano_Espanyol,RayoVallecano,Espanyol,2.0,1.0,win,finished,2,22_23,10408624
Sevilla_RealValladolid,Sevilla,RealValladolid,1.0,1.0,draw,finished,2,22_23,10408633
RealValladolid_Sevilla,RealValladolid,Sevilla,1.0,1.0,draw,finished,2,22_23,10408633
Osasuna_Cadiz,Osasuna,Cadiz,2.0,1.0,win,finished,2,22_23,10408630
Cadiz_Osasuna,Cadiz,Osasuna,1.0,2.0,loss,finished,2,22_23,10408630
Mallorca_RealBetis,Mallorca,RealBetis,1.0,3.0,loss,finished,2,22_23,10408628
RealBetis_Mallorca,RealBetis,Mallorca,3.0,1.0,win,finished,2,22_23,10408628
CeltaVigo_RealMadrid,CeltaVigo,RealMadrid,2.0,4.0,loss,finished,2,22_23,10408641
RealMadrid_CeltaVigo,RealMadrid,CeltaVigo,4.0,2.0,win,finished,2,22_23,10408641
AthleticClub_Valencia,AthleticClub,Valencia,1.0,1.0,win,finished,2,22_23,10408640
Valencia_AthleticClub,Valencia,AthleticClub,1.0,1.0,loss,finished,2,22_23,10408640
AtleticoMadrid_Villarreal,AtleticoMadrid,Villarreal,1.0,2.0,loss,finished,2,22_23,10408639
Villarreal_AtleticoMadrid,Villarreal,AtleticoMadrid,2.0,1.0,win,finished,2,22_23,10408639
RealSociedad_Barcelona,RealSociedad,Barcelona,2.0,4.0,loss,finished,2,22_23,10408627
Barcelona_RealSociedad,Barcelona,RealSociedad,4.0,2.0,win,finished,2,22_23,10408627
Elche_Almeria,Elche,Almeria,2.0,1.0,draw,finished,2,22_23,10408631
Almeria_Elche,Almeria,Elche,1.0,2.0,draw,finished,2,22_23,10408631
GironaFC_Getafe,GironaFC,Getafe,4.0,1.0,win,finished,2,22_23,10408635
Getafe_GironaFC,Getafe,GironaFC,1.0,4.0,loss,finished,2,22_23,10408635
GironaFC_CeltaVigo,GironaFC,CeltaVigo,1.0,2.0,loss,finished,3,22_23,10408601
CeltaVigo_GironaFC,CeltaVigo,GironaFC,2.0,1.0,win,finished,3,22_23,10408601
RealBetis_Osasuna,RealBetis,Osasuna,2.0,0.0,win,finished,3,22_23,10408626
Osasuna_RealBetis,Osasuna,RealBetis,0.0,2.0,loss,finished,3,22_23,10408626
Elche_RealSociedad,Elche,RealSociedad,0.0,2.0,loss,finished,3,22_23,10408634
RealSociedad_Elche,RealSociedad,Elche,2.0,0.0,win,finished,3,22_23,10408634
RayoVallecano_Mallorca,RayoVallecano,Mallorca,0.0,3.0,loss,finished,3,22_23,10408597
Mallorca_RayoVallecano,Mallorca,RayoVallecano,3.0,0.0,win,finished,3,22_23,10408597
Almeria_Sevilla,Almeria,Sevilla,2.0,2.0,win,finished,3,22_23,10408602
Sevilla_Almeria,Sevilla,Almeria,2.0,2.0,loss,finished,3,22_23,10408602
