match,team,opponent,team_score,opponent_score,result,status,ronda,temporada
Almería_RayoVallecano,Almería,RayoVallecano,0.0,2.0,loss,finished,1,23_24
RayoVallecano_Almería,RayoVallecano,Almería,2.0,0.0,win,finished,1,23_24
Sevilla_Valencia,Sevilla,Valencia,1.0,2.0,loss,finished,1,23_24
Valencia_Sevilla,Valencia,Sevilla,2.0,1.0,win,finished,1,23_24
RealSociedad_GironaFC,RealSociedad,GironaFC,1.0,1.0,draw,finished,1,23_24
GironaFC_RealSociedad,GironaFC,RealSociedad,1.0,1.0,draw,finished,1,23_24
LasPalmas_Mallorca,LasPalmas,Mallorca,1.0,1.0,draw,finished,1,23_24
Mallorca_LasPalmas,Mallorca,LasPalmas,1.0,1.0,draw,finished,1,23_24
AthleticClub_RealMadrid,AthleticClub,RealMadrid,0.0,2.0,loss,finished,1,23_24
RealMadrid_AthleticClub,RealMadrid,AthleticClub,2.0,0.0,win,finished,1,23_24
CeltaVigo_Osasuna,CeltaVigo,Osasuna,0.0,2.0,loss,finished,1,23_24
Osasuna_CeltaVigo,Osasuna,CeltaVigo,2.0,0.0,win,finished,1,23_24
Villarreal_RealBetis,Villarreal,RealBetis,1.0,2.0,loss,finished,1,23_24
RealBetis_Villarreal,RealBetis,Villarreal,2.0,1.0,win,finished,1,23_24
Getafe_Barcelona,Getafe,Barcelona,0.0,0.0,draw,finished,1,23_24
Barcelona_Getafe,Barcelona,Getafe,0.0,0.0,draw,finished,1,23_24
Cádiz_DeportivoAlavés,Cádiz,DeportivoAlavés,1.0,0.0,win,finished,1,23_24
DeportivoAlavés_Cádiz,DeportivoAlavés,Cádiz,0.0,1.0,loss,finished,1,23_24
AtléticoMadrid_Granada,AtléticoMadrid,Granada,3.0,1.0,win,finished,1,23_24
Granada_AtléticoMadrid,Granada,AtléticoMadrid,1.0,3.0,loss,finished,1,23_24
Osasuna_Granada,Osasuna,Granada,2.0,0.0,win,finished,10,23_24
Granada_Osasuna,Granada,Osasuna,0.0,2.0,loss,finished,10,23_24
RealSociedad_Mallorca,RealSociedad,Mallorca,1.0,0.0,win,finished,10,23_24
Mallorca_RealSociedad,Mallorca,RealSociedad,0.0,1.0,loss,finished,10,23_24
Getafe_RealBetis,Getafe,RealBetis,1.0,1.0,draw,finished,10,23_24
RealBetis_Getafe,RealBetis,Getafe,1.0,1.0,draw,finished,10,23_24
Sevilla_RealMadrid,Sevilla,RealMadrid,1.0,1.0,draw,finished,10,23_24
RealMadrid_Sevilla,RealMadrid,Sevilla,1.0,1.0,draw,finished,10,23_24
CeltaVigo_AtléticoMadrid,CeltaVigo,AtléticoMadrid,0.0,3.0,loss,finished,10,23_24
AtléticoMadrid_CeltaVigo,AtléticoMadrid,CeltaVigo,3.0,0.0,win,finished,10,23_24
LasPalmas_RayoVallecano,LasPalmas,RayoVallecano,0.0,1.0,loss,finished,10,23_24
RayoVallecano_LasPalmas,RayoVallecano,LasPalmas,1.0,0.0,win,finished,10,23_24
GironaFC_Almería,GironaFC,Almería,5.0,2.0,win,finished,10,23_24
Almería_GironaFC,Almería,GironaFC,2.0,5.0,loss,finished,10,23_24
Villarreal_DeportivoAlavés,Villarreal,DeportivoAlavés,1.0,1.0,draw,finished,10,23_24
DeportivoAlavés_Villarreal,DeportivoAlavés,Villarreal,1.0,1.0,draw,finished,10,23_24
Barcelona_AthleticClub,Barcelona,AthleticClub,1.0,0.0,win,finished,10,23_24
